Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-4,11/8/2020 15:49:28,Team Matigale,3,Lewis Hamilton,x,3
1-4,11/8/2020 15:49:29,Mack Wickell,3,Lewis Hamilton,x,3
1-4,11/8/2020 15:49:38,Blazin Asian,7,Dale Earnhardt Jr,,0
1-4,11/8/2020 15:49:42,Team MBF,5,?,,0
1-4,11/8/2020 15:49:52,Josh Allen is Elite,3,Dale Earnhardt Jr ,,0
1-4,11/8/2020 15:50:31,"Not Great, Not Terrible",5,Mario Andretti,,0
1-4,11/8/2020 15:50:43,Fellowship of the Beer,3,Louis (insert last name here),,0
2-1,11/8/2020 16:07:23,Josh Allen is Elite,1,Texas A&M (69k nice),x,1
2-1,11/8/2020 16:07:26,Mack Wickell,3,Texas A&M,x,3
2-1,11/8/2020 16:07:39,Team MBF,5,texas a&m,x,5
2-1,11/8/2020 16:07:42,Team Bag-Bo,7,Texas A&M?,x,7
2-1,11/8/2020 16:07:43,Team Matigale,3,Texas A&M,x,3
2-1,11/8/2020 16:08:17,Team Jax,7,Texas A&M,x,7
2-1,11/8/2020 16:08:21,Blazin Asian,3,Texas A&M,x,3
2-1,11/8/2020 16:08:22,Fellowship of the Beer,1,Texas A&M,x,1
2-1,11/8/2020 16:08:29,"Not Great, Not Terrible",5,University of Texas at Austin,,0
2-2,11/8/2020 16:10:06,"Not Great, Not Terrible",7,The Branch Dividians,x,7
2-2,11/8/2020 16:10:09,Fellowship of the Beer,5,The Branch Davidians (hoping the spelling is right),x,5
2-2,11/8/2020 16:10:21,Team Bag-Bo,1,Charles Manson,,0
2-2,11/8/2020 16:10:24,Blazin Asian,1,The Mormons,,0
2-2,11/8/2020 16:10:27,Mack Wickell,1,Cult of Cthulu,,0
2-2,11/8/2020 16:10:31,Team MBF,3,7th day adventists ,,0
2-2,11/8/2020 16:10:32,Josh Allen is Elite,3,Followers of God,,0
2-2,11/8/2020 16:10:34,Team Jax,5,Davidians,,0
2-2,11/8/2020 16:11:08,Team Matigale,1,Branch Davidians,x,1
2-3,11/8/2020 16:13:17,Team Bag-Bo,3,Arkansas and Alabama,,0
2-3,11/8/2020 16:13:18,Team Jax,3,Utah (Idaho),,0
2-3,11/8/2020 16:13:22,Mack Wickell,5,North Carolina & Arkansas,,0
2-3,11/8/2020 16:13:23,Blazin Asian,5,Rhode Island & Delaware,,0
2-3,11/8/2020 16:13:35,Josh Allen is Elite,5,"Alaska, Alabama ",,0
2-3,11/8/2020 16:14:03,Team MBF,7,Texas and Utah ,,0
2-3,11/8/2020 16:14:14,"Not Great, Not Terrible",3,Texas & Arkansas,,0
2-3,11/8/2020 16:14:35,Team Matigale,5,"Arkansas, Wyoming",,0
2-3,11/8/2020 16:15:01,Fellowship of the Beer,3,Texas and Arkansas,,0
2-4,11/8/2020 16:16:58,Team Jax,1,Me at the Zoo,x,1
2-4,11/8/2020 16:17:04,Mack Wickell,7,My day at the zoo,,0
2-4,11/8/2020 16:17:24,Team Bag-Bo,5,Elephant Trunks,,0
2-4,11/8/2020 16:17:30,Josh Allen is Elite,7,Elephants,,0
2-4,11/8/2020 16:17:37,Team MBF,1,Tusks ,,0
2-4,11/8/2020 16:17:43,Fellowship of the Beer,7,My Trip to the Zoo,,0
2-4,11/8/2020 16:18:04,Blazin Asian,7,no clue,,3
2-4,11/8/2020 16:18:13,"Not Great, Not Terrible",1,Jowen talks trunks,,0
2-4,11/8/2020 16:18:39,Team Matigale,7,we bought a zoo (feat Matt Damon),,0
3-1,11/8/2020 16:29:19,Mack Wickell,8,Pandas,x,8
3-1,11/8/2020 16:29:49,Blazin Asian,2,Amazing,,0
3-1,11/8/2020 16:30:19,Josh Allen is Elite,8,PANDA by desiigner ,x,8
3-1,11/8/2020 16:30:22,Team Bag-Bo,2,no clue,,0
3-1,11/8/2020 16:30:22,Team Jax,2,Father Take my Hands 2,,0
3-1,11/8/2020 16:30:45,Fellowship of the Beer,2,Make Kanye Great Again ,,0
3-1,11/8/2020 16:30:55,"Not Great, Not Terrible",2,How does a rabbi make his coffee? He-brews it!,,0
3-1,11/8/2020 16:31:26,Team MBF,2,?,,0
3-1,11/8/2020 16:32:15,Team Matigale,2,"Mr Brightside, killers",,0
3-2,11/8/2020 16:33:43,Team Bag-Bo,8,"Clarity, color, cut, carat",x,8
3-2,11/8/2020 16:33:53,Fellowship of the Beer,8,"Carat, Color, Cut, Clarity ",x,8
3-2,11/8/2020 16:34:00,Josh Allen is Elite,6,"Color, Carat, Clarity, Cut",x,6
3-2,11/8/2020 16:34:01,Mack Wickell,6,"Cut, Carats, Clarity, Color",x,6
3-2,11/8/2020 16:34:09,"Not Great, Not Terrible",8,"Cut, Clarity, Color, Carat",x,8
3-2,11/8/2020 16:34:14,Team Jax,8,"clarity, carats, color, cut",x,8
3-2,11/8/2020 16:34:20,Team MBF,4.5,"Color, Clarity, Cut, and Consistency ",x,4.5
3-2,11/8/2020 16:35:37,Blazin Asian,1,"clean, cutting",x,1
3-2,11/8/2020 16:35:54,Team Matigale,3,"cleavage, cut, clarity, carat",x,3
3-3,11/8/2020 16:37:17,Team Jax,6,Genovia,x,6
3-3,11/8/2020 16:37:18,Team Bag-Bo,6,Genovia,x,6
3-3,11/8/2020 16:37:24,Mack Wickell,2,Florida,,0
3-3,11/8/2020 16:37:32,Team MBF,8,Genovia ,x,8
3-3,11/8/2020 16:37:38,Team Matigale,8,Genovia,x,8
3-3,11/8/2020 16:37:46,Fellowship of the Beer,6,Genovia ,x,6
3-3,11/8/2020 16:37:52,Blazin Asian,6,North Korea,,0
3-3,11/8/2020 16:38:18,Josh Allen is Elite,2,Gwenothia,,0
3-3,11/8/2020 16:38:59,"Not Great, Not Terrible",4,Transexual Transylvania,,0
3-4,11/8/2020 16:39:47,Team Jax,4,Marie Curie,x,4
3-4,11/8/2020 16:39:49,Team Bag-Bo,4,marie curie,x,4
3-4,11/8/2020 16:39:57,Mack Wickell,4,Marie Curie (and she won two),x,4
3-4,11/8/2020 16:40:03,Josh Allen is Elite,4,Marie Curie,x,4
3-4,11/8/2020 16:40:05,Team Matigale,6,Marie Curie,x,6
3-4,11/8/2020 16:40:10,Fellowship of the Beer,4,Marie Curie,x,4
3-4,11/8/2020 16:40:19,"Not Great, Not Terrible",6,Marie Curie,x,6
3-4,11/8/2020 16:40:21,Blazin Asian,8,Marie Curie,x,8
3-4,11/8/2020 16:40:54,Team MBF,4,Mary ...,,0
4-1,11/8/2020 16:53:03,Josh Allen is Elite,8,Tiffany and Co.,x,8
4-1,11/8/2020 16:53:11,Mack Wickell,2,Sachs Jewellers,,0
4-1,11/8/2020 16:53:15,Team Jax,8,Tiffany's,x,8
4-1,11/8/2020 16:53:36,Blazin Asian,6,Rolex,,0
4-1,11/8/2020 16:53:52,Team Bag-Bo,8,Tiffany,x,8
4-1,11/8/2020 16:54:01,"Not Great, Not Terrible",4,Tiffany's,x,4
4-1,11/8/2020 16:54:27,Team MBF,2,Tiffanys ,x,2
4-1,11/8/2020 16:54:55,Team Matigale,2,Swarovski,,0
4-1,11/8/2020 16:54:56,Fellowship of the Beer,2,Cartier,,0
4-2,11/8/2020 16:56:04,Mack Wickell,8,Major/Minor,x,8
4-2,11/8/2020 16:56:15,Team Bag-Bo,6,Major and minor,x,6
4-2,11/8/2020 16:56:15,Blazin Asian,8,Major and Minor,x,8
4-2,11/8/2020 16:56:25,Team Matigale,8,"Major, minor",x,8
4-2,11/8/2020 16:56:34,"Not Great, Not Terrible",8,Major / Minor,x,8
4-2,11/8/2020 16:56:42,Team Jax,2,(Major and Minor) Keys,x,2
4-2,11/8/2020 16:56:59,Team MBF,4,major and minor ,x,4
4-2,11/8/2020 16:57:25,Josh Allen is Elite,6,"The major (happy) and the minor(sad), like piano keys....name the song @theSkinnyLegends",x,6
4-2,11/8/2020 16:57:29,Fellowship of the Beer,6,Major and Minor ,x,6
4-3,11/8/2020 16:59:21,Team Jax,6,Futurama,x,6
4-3,11/8/2020 16:59:30,Mack Wickell,6,Futurama,x,6
4-3,11/8/2020 16:59:35,Josh Allen is Elite,4,Futurama,x,4
4-3,11/8/2020 16:59:56,"Not Great, Not Terrible",6,Futurama,x,6
4-3,11/8/2020 16:59:59,Blazin Asian,2,south park,,0
4-3,11/8/2020 17:00:13,Team MBF,6,Family guy,,0
4-3,11/8/2020 17:00:21,Team Bag-Bo,2,American Dad,,0
4-3,11/8/2020 17:00:29,Fellowship of the Beer,8,Futurama,x,8
4-3,11/8/2020 17:01:08,Team Matigale,4,Futurama,x,4
4-4,11/8/2020 17:02:25,Team MBF,8,mustang ,x,8
4-4,11/8/2020 17:02:26,Blazin Asian,4,Ferrari,,0
4-4,11/8/2020 17:02:35,Team Bag-Bo,4,Mustang,x,4
4-4,11/8/2020 17:02:48,Mack Wickell,4,Mustang (I almost pre-answered Miata),x,4
4-4,11/8/2020 17:02:52,Team Matigale,6,Ford Mustang,x,6
4-4,11/8/2020 17:03:03,Team Jax,4,Mustang,x,4
4-4,11/8/2020 17:03:43,"Not Great, Not Terrible",2,Mustang,x,2
4-4,11/8/2020 17:04:10,Josh Allen is Elite,2,Ferrari of some sort idk,,0
4-4,11/8/2020 17:04:13,Fellowship of the Beer,4,Corvette,,0
