,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
20,Graham Zusi,SKC,M,27,26,2351,0,2,37,7,0/0,0.0,18.9
21,Brandon Bye,NE,D,30,30,2657,2,2,22,7,0/0,9.1,31.8
22,Mathieu Deplagne,CIN,D,33,33,2878,1,2,23,7,0/0,4.3,30.4
23,Haris Medunjanin,CIN,M,34,34,3060,1,10,34,7,0/0,2.9,20.6
24,Ola Kamara,DC,F,5,3,257,3,0,8,6,0/0,37.5,75.0
0,Michaell Chirinos,VAN,F,7,4,412,1,1,10,6,0/0,10.0,60.0
1,Josh Perez,LFC,F,13,4,454,1,1,12,6,0/0,8.3,50.0
2,Andreas Ivan,NY,M,12,5,486,1,2,21,6,0/0,4.8,28.6
3,Omir Fernandez,RBNY,M,18,3,568,2,2,12,6,0/0,16.7,50.0
4,Robin Lod,MIN,M,10,6,583,0,0,13,6,0/0,0.0,46.2
5,Bojan Krkic,MTL,M,8,7,608,3,0,18,6,0/0,16.7,33.3
6,Anthony Jackson-Hamel,MTL,F,16,6,618,3,0,16,6,0/0,18.8,37.5
7,Derrick Etienne Jr.,CLB,M,16,7,684,1,1,13,6,0/0,7.7,46.2
8,Fanendo Adi,CLB,F,12,7,695,1,0,20,6,0/0,5.0,30.0
9,Abu Danladi,NSH,F,24,4,704,2,2,22,6,0/0,9.1,27.3
10,Fabian Herbers,CHI,F,17,7,775,3,1,18,6,0/0,16.7,33.3
11,Emerson Hyndman,ATL,M,15,10,983,1,3,15,6,0/0,6.7,40.0
12,Luis Argudo,MIA,M,21,10,1062,1,3,19,6,0/0,5.3,31.6
13,Lucas Venuto,VAN,M,22,12,1132,3,1,14,6,0/0,21.4,42.9
14,Roger Espinoza,SKC,M,16,15,1149,0,3,16,6,0/0,0.0,37.5
15,Sacha Kljestan,LA,M,23,13,1352,1,3,19,6,0/0,5.3,31.6
16,Will Johnson,ORL,D,21,20,1697,1,1,28,6,0/0,3.6,21.4
17,Benny Feilhaber,COL,M,26,20,1724,4,4,28,6,0/0,14.3,21.4
18,Cristian Casseres Jr.,RBNY,M,23,21,1801,3,4,25,6,0/0,12.0,24.0
19,Bill Tuiloma,POR,D-M,25,21,1919,1,0,28,6,0/0,3.6,21.4
20,Ronald Matarrita,NYC,D,24,24,1979,1,1,25,6,0/0,4.0,24.0
21,Doneil Henry,VAN,D,25,24,2123,4,1,12,6,0/0,33.3,50.0
22,Daniel Lovitz,NSH,D,28,28,2520,0,2,12,6,0/0,0.0,50.0
23,Daniel Steres,LA,D,30,30,2615,3,0,20,6,0/0,15.0,30.0
24,Florian Jungwirth,SJ,D,30,30,2671,0,2,19,6,0/0,0.0,31.6
0,Dax McCarty,NSH,M,32,32,2850,1,4,21,6,0/0,4.8,28.6
1,Miles Robinson,ATL,D,34,33,2978,0,0,19,6,0/0,0.0,31.6
2,Steven Birnbaum,DC,D,34,34,3032,1,1,29,6,0/0,3.4,20.7
3,Joao Plata,RSL,F,17,2,305,1,0,14,5,1/1,7.1,35.7
4,Tomas Conechny,POR,M,16,2,348,1,3,10,5,0/0,10.0,50.0
5,Brian Rodriguez,LAFC,F,7,5,385,0,0,17,5,0/0,0.0,29.4
6,Will Bruin,SEA,F,9,4,428,2,1,8,5,0/0,25.0,62.5
7,Fatai Alashe,CIN,M,11,4,434,1,0,8,5,0/0,12.5,62.5
8,Youness Mokhtar,CLB,M,8,5,442,1,0,14,5,0/0,7.1,35.7
9,Joseph-Claude Gyau,CIN,M,8,5,461,0,1,12,5,0/0,0.0,41.7
10,Tosaint Ricketts,VAN,F,8,6,482,1,2,10,5,0/0,10.0,50.0
11,Cory Burke,PHI,F,7,5,490,2,0,14,5,0/0,14.3,35.7
12,Efrain Alvarez,LA,M,14,4,518,0,3,12,5,0/0,0.0,41.7
13,Chris Pontius,LA,M,18,6,697,2,3,18,5,0/0,11.1,27.8
14,Zachary Brault-Guillard,MTL,D,13,9,871,0,1,11,5,0/0,0.0,45.5
15,Dave Romney,NSH,D,12,10,928,0,1,8,5,0/0,0.0,62.5
16,Emmanuel Boateng,DC,M,24,7,930,1,1,14,5,0/0,7.1,35.7
17,Bressan,DAL,D,18,12,1119,1,1,8,5,0/0,12.5,62.5
18,Frankie Amaya,CIN,M,19,15,1241,0,0,16,5,0/0,0.0,31.3
19,Danny Wilson,COL,D,20,15,1329,2,1,13,5,0/0,15.4,38.5
20,Brandt Bronico,CHI,M,29,20,1864,1,3,14,5,0/0,7.1,35.7
21,Leonardo Bertone,CIN,M,25,22,2055,1,2,28,5,0/0,3.6,17.9
22,Aaron Long,RBNY,D,24,24,2115,2,1,19,5,0/0,10.5,26.3
23,Walker Zimmerman,NSH,D,25,25,2169,1,1,21,5,0/0,4.8,23.8
24,Justin Morrow,TOR,D,28,26,2349,1,3,15,5,0/0,6.7,33.3
0,Michael Bradley,TOR,M,27,26,2372,3,3,22,5,0/0,13.6,22.7
1,Kelvin Leerdam,SEA,D,29,27,2393,5,2,22,5,0/0,22.7,22.7
2,Jonathan dos Santos,LA,M,29,29,2546,2,3,14,5,1/1,14.3,35.7
3,Ike Opara,MIN,D,30,29,2566,3,1,22,5,0/0,13.6,22.7
4,Leandro Gonzalez Pirez,MIA,D,31,31,2701,1,1,22,5,0/0,4.5,22.7
5,Aaron Herrera,RSL,D,32,31,2768,0,4,19,5,0/0,0.0,26.3
6,Romario Williams,ATL,F,9,1,159,1,0,7,4,0/0,14.3,57.1
7,Luis Silva,SEA,F,5,2,197,0,0,11,4,0/0,0.0,36.4
8,Raheem Edwards,MIN,M,4,2,244,1,0,7,4,0/0,14.3,57.1
9,Joaquin Ardaiz,VAN,F,16,3,405,0,0,12,4,0/0,0.0,33.3
10,Marlon Hairston,MIN,M,12,5,412,0,0,6,4,0/0,0.0,66.7
11,Quincy Amarikwa,DC,F,23,3,414,1,1,13,4,0/0,7.7,30.8
12,Nicolas Benezet,COL,F,8,5,438,2,0,14,4,0/0,14.3,28.6
13,Harry Novillo,MTL,M,11,5,439,1,2,11,4,0/0,9.1,36.4
14,Patrick Mullins,TOR,F,17,6,542,2,0,15,4,0/0,13.3,26.7
15,Rashawn Dally,CIN,F,12,8,546,1,0,10,4,0/0,10.0,40.0
16,Omar Browne,MTL,M,10,5,564,2,2,16,4,0/0,12.5,25.0
17,Handwalla Bwana,SEA,M,15,6,567,1,1,10,4,0/0,10.0,40.0
18,Lass Bangoura,VAN,M,17,7,634,1,1,11,4,0/0,9.1,36.4
19,Jacob Shaffelburg,TOR,M-F,10,8,672,0,1,11,4,0/0,0.0,36.4
20,Ignacio Piatti,MTL,M,11,9,757,3,1,20,4,0/0,15.0,20.0
21,Graham Smith,SKC,D,11,10,882,1,1,8,4,0/0,12.5,50.0
22,Roman Torres,MIA,D,17,12,1127,1,0,14,4,0/0,7.1,28.6
23,Marcos Lopez,SJ,D,18,15,1168,0,1,10,4,0/0,0.0,40.0
24,Omar Gonzalez,TOR,D,14,14,1260,1,1,12,4,0/0,8.3,33.3
0,DeJuan Jones,NE,D,20,14,1296,1,1,13,4,0/0,7.7,30.8
1,Richie Laryea,TOR,M,20,16,1468,1,2,17,4,0/0,5.9,23.5
2,Amro Tarek,RBNY,D,20,19,1477,1,1,8,4,0/0,12.5,50.0
3,Nick Lima,SJ,D,24,21,1810,1,2,17,4,0/0,5.9,23.5
4,Gustav Svensson,SEA,M,22,21,1813,0,1,19,4,0/0,0.0,21.1
5,Andy Rose,VAN,M,24,20,1850,1,1,14,4,0/0,7.1,28.6
6,Judson,SJ,M,27,23,1915,1,0,15,4,0/0,6.7,26.7
7,Auston Trusty,COL,D,22,22,1966,1,0,11,4,0/0,9.1,36.4
8,Brad Smith,SEA,D,25,22,1974,0,6,11,4,0/0,0.0,36.4
9,Lalas Abubakar,COL,D,23,23,2070,0,0,13,4,0/0,0.0,30.8
10,Ruan,ORL,D,25,23,2096,0,5,8,4,0/0,0.0,50.0
11,Kyle Beckerman,RSL,M,25,24,2134,0,5,17,4,0/0,0.0,23.5
12,Kendall Waston,CIN,D,25,24,2175,1,0,18,4,0/0,5.6,22.2
13,Bacary Sagna,MTL,D,26,25,2180,1,3,13,4,0/0,7.7,30.8
14,Maynor Figueroa,HOU,D,25,25,2249,0,3,28,4,0/0,0.0,14.3
15,Leonardo Jara,DC,D,30,25,2291,1,5,34,4,0/0,2.9,11.8
16,Tommy Thompson,SJ,D,30,28,2296,2,1,13,4,0/0,15.4,30.8
17,Joe Corona,LA,M,31,26,2324,1,3,18,4,0/0,5.6,22.2
18,Nedum Onuoha,RSL,D,27,26,2336,1,0,9,4,0/0,11.1,44.4
19,Ilie Sanchez,SKC,M,32,27,2509,2,5,20,4,1/1,10.0,20.0
20,Diego Polenta,LA,D,28,28,2520,1,6,18,4,0/0,5.6,22.2
21,Bastian Schweinsteiger,CHI,M,30,30,2676,1,3,24,4,0/0,4.2,16.7
22,Darlington Nagbe,CLB,M,33,32,2825,2,4,21,4,0/0,9.5,19.0
23,Peter-Lee Vassell,LFC,M,6,2,177,0,1,5,3,0/0,0.0,60.0
24,Adrien Perez,LAFC,F,12,1,206,1,0,7,3,0/0,14.3,42.9
0,Ayo Akinola,TOR,F,8,2,253,1,1,8,3,0/0,12.5,37.5
1,Justin Dhillon,SEA,F,5,3,264,0,0,7,3,0/0,0.0,42.9
2,Romain Alessandrini,LA,M,5,5,281,0,1,8,3,0/0,0.0,37.5
3,Santiago Patiño,ORL,F,11,3,322,2,1,12,3,0/0,16.7,25.0
4,Vincent Bezecourt,NY,M,8,7,453,0,1,11,3,0/0,0.0,27.3
5,Josh Sims,NY,M,7,5,478,0,1,11,3,0/0,0.0,27.3
6,Mohamed El-Munir,LAFC,D,15,4,581,1,0,11,3,0/0,9.1,27.3
7,Luis Martins,SKC,D,10,9,829,0,0,6,3,0/0,0.0,50.0
